Title,Description,Priority,Labels,Estimate,Parent
Foundation & Infrastructure,Epic for project setup and core infrastructure,0,epic;foundation,20,
Project Setup & Configuration,"Initialize Next.js 14+ project with App Router, TypeScript, and core dependencies

Acceptance Criteria:
- Next.js 14+ project initialized with App Router
- TypeScript configured with strict mode
- Tailwind CSS + shadcn/ui installed and configured
- ESLint and Prettier configured
- Git repository initialized with .gitignore
- Environment variables structure defined (.env.example)
- Package.json scripts configured (dev, build, lint, type-check)",0,foundation;setup,2,Foundation & Infrastructure
Supabase Project Setup,"Create and configure Supabase project with initial database structure

Acceptance Criteria:
- Supabase project created
- Database connection established
- Supabase client utilities created (client.ts, server.ts, admin.ts)
- Environment variables configured for Supabase
- Database types generated (npm run db:types)
- Row Level Security (RLS) enabled on all tables",0,foundation;backend,3,Foundation & Infrastructure
Design System & Theme Configuration,"Establish RunExpression brand design system with Tailwind and shadcn/ui

Acceptance Criteria:
- Custom Tailwind theme configured (sage green, purple, cream colors)
- Typography system configured (DM Mono, Merriweather)
- shadcn/ui components installed and customized
- Custom CSS variables for brand colors defined
- Animation utilities configured (Framer Motion)
- Accessibility settings (reduced motion support)",0,foundation;design,3,Foundation & Infrastructure
Core Database Schema Migration,"Create initial database migration with core tables

Acceptance Criteria:
- users/profiles table created
- clubs table created
- club_memberships table created
- expression_events table created (for The Flow)
- club_contributions table created (for Clubhouse)
- products table created (for Shop)
- All RLS policies defined
- Indexes created on foreign keys
- Migration tested on staging",0,foundation;database,5,Foundation & Infrastructure
Middleware & Route Protection,"Set up Next.js middleware for auth and route protection

Acceptance Criteria:
- Supabase auth middleware configured
- Protected routes identified (clubhouse, admin)
- Auth callback routes created
- Session refresh logic implemented
- Redirect logic for unauthenticated users",0,foundation;auth,2,Foundation & Infrastructure
Homepage & Manifesto Experience,Epic for homepage and scroll-driven manifesto implementation,0,epic;homepage,25,
Homepage Layout & Structure,"Create homepage with scroll-driven manifesto structure

Acceptance Criteria:
- Hero section with H1 'Make running mean more'
- Scroll-driven layout structure implemented
- Mobile-responsive layout
- Navigation header with logo and menu
- Footer with links and social media
- Smooth scroll behavior configured",0,homepage;frontend,3,Homepage & Manifesto Experience
Hero Section with Primary CTA,"Implement hero section with strong visual identity and CTAs

Acceptance Criteria:
- H1: 'Make running mean more'
- Sub-headline: 'Turn your struggle into art and feed the running community with your story'
- Primary CTA: 'Enter the Flow' (links to canvas)
- Secondary CTA: 'Visit the Clubhouse' (links to DWTC)
- Background texture/noise effect
- Typography styling matches brand
- Mobile-optimized button stacking",0,homepage;frontend;design,2,Homepage & Manifesto Experience
Chapter 01 - Motion Creates Emotion,"Implement first manifesto chapter with scroll reveal

Acceptance Criteria:
- Headline: 'Leave heavy. Return light.'
- Body copy implemented
- Scroll-triggered fade-in animation
- Background imagery/texture
- Soft prompt link: 'Explore the Mindset'
- Section visible at correct breakpoint",1,homepage;frontend;animation,2,Homepage & Manifesto Experience
Chapter 02 - Process Over Outcome,"Implement second manifesto chapter

Acceptance Criteria:
- Headline: 'We take our fun very seriously'
- Body copy implemented
- Scroll-triggered animation
- Soft prompt link: 'Embrace the Grind'
- Section spacing and rhythm correct",1,homepage;frontend;animation,2,Homepage & Manifesto Experience
Chapter 03 - Interdependence,"Implement third manifesto chapter

Acceptance Criteria:
- Headline: 'Your squad is your battery pack'
- Body copy implemented
- Scroll-triggered animation
- Soft prompt link: 'Find Your Crew'
- Visual treatment consistent with brand",1,homepage;frontend;animation,2,Homepage & Manifesto Experience
Chapter 04 - Living Laboratory,"Implement fourth manifesto chapter

Acceptance Criteria:
- Headline: 'Enlightenment smells like laundry'
- Body copy implemented
- Scroll-triggered animation
- Soft prompt link: 'Bring It to Life'
- Section closes manifesto flow appropriately",1,homepage;frontend;animation,2,Homepage & Manifesto Experience
The Flow Preview Strip,"Implement live preview of Flow submissions on homepage

Acceptance Criteria:
- Section title: 'What are we running for today?'
- Live feed of recent expression_events
- Horizontal auto-scroll or carousel
- Touch-swipeable on mobile
- Realtime updates via Supabase Realtime
- Sample data displayed when no submissions",1,homepage;frontend;realtime,3,Homepage & Manifesto Experience
DWTC Clubhouse Teaser,"Implement clubhouse teaser section on homepage

Acceptance Criteria:
- Section title: 'Welcome to the Laboratory'
- Body copy about clubhouse
- CTA button: 'Visit the Clubhouse'
- Visual treatment (black and white, high grain photography)
- Section feels distinct but cohesive",1,homepage;frontend;design,2,Homepage & Manifesto Experience
Homepage Performance Optimization,"Optimize homepage for Core Web Vitals

Acceptance Criteria:
- LCP < 2s
- FID < 100ms
- CLS < 0.1
- Images optimized (WebP, next/image)
- Framer Motion animations optimized
- Lazy loading for below-the-fold content
- Lighthouse score > 90",1,homepage;performance,3,Homepage & Manifesto Experience
The Flow (Interactive Canvas),Epic for The Flow interactive canvas feature,0,epic;flow,30,
Canvas Page Layout & Navigation,"Create main canvas page with navigation and structure

Acceptance Criteria:
- Route /flow or /canvas created
- Page layout with header and footer
- Main prompt: 'What did your run express today?'
- Helper text: 'It doesn't have to be pretty. Just honest.'
- Mobile-responsive layout",0,flow;frontend,2,The Flow (Interactive Canvas)
Expression Submission - Text Input,"Implement text-based expression submission

Acceptance Criteria:
- Multi-line text input (500-1000 char limit)
- Character counter
- Vibe tag selection (5 max)
- Optional: mood, distance metadata
- Form validation
- Submit button with loading state",0,flow;frontend;forms,3,The Flow (Interactive Canvas)
Expression Submission - Image Upload,"Implement image upload for expressions

Acceptance Criteria:
- Drag-and-drop or click-to-upload
- Image preview before submission
- Client-side compression (compressorjs)
- File size validation (< 5MB)
- Caption input field
- Vibe tag selection
- Upload to Supabase Storage",0,flow;frontend;upload,3,The Flow (Interactive Canvas)
Sticker Studio with Fabric.js,"Implement sticker/filter studio for image customization

Acceptance Criteria:
- Fabric.js canvas initialized
- Base image loaded as background
- Sticker picker UI (logo, tape, badges)
- Drag, rotate, resize sticker controls
- Filter options (B&W, sepia, normal)
- Delete selected sticker
- Export composite image to blob
- Mobile touch support",1,flow;frontend;canvas,5,The Flow (Interactive Canvas)
Expression Submission - Backend API,"Create API endpoint for expression submission

Acceptance Criteria:
- POST /api/expressions/create endpoint
- User authentication check
- Payload validation (text, media_url, vibe_tags)
- OpenAI Moderation API integration
- Insert into expression_events table
- Set moderation_status based on trust_score
- Return success/error response
- Error handling and logging",0,flow;backend;api,5,The Flow (Interactive Canvas)
The Flow Wall - Masonry Layout,"Display all approved expressions in masonry grid

Acceptance Criteria:
- Masonry grid layout (react-masonry-css)
- Load approved expression_events from Supabase
- Display text and/or image
- Show first name/handle and timestamp
- Hover/tap effects on tiles
- Empty state with sample expressions
- Pagination or infinite scroll",0,flow;frontend;layout,3,The Flow (Interactive Canvas)
Realtime Flow Updates,"Implement realtime updates when new expressions are added

Acceptance Criteria:
- Supabase Realtime subscription to expression_events
- New tiles animate into the wall
- Smooth transition animation
- No page refresh required
- Handle connection errors gracefully",1,flow;frontend;realtime,3,The Flow (Interactive Canvas)
Submission Confirmation & Feedback,"Show user feedback after submission

Acceptance Criteria:
- Success message: 'Your run just joined the Flow'
- Animation of new tile drifting into wall
- Options: 'See the wall', 'Share', 'Sign up/log in'
- Optimistic UI for logged-in users
- Pending state message for new users",1,flow;frontend;ux,2,The Flow (Interactive Canvas)
Vibe Tag Taxonomy & Selection,"Implement vibe tag system for expression categorization

Acceptance Criteria:
- Vibe tags defined in lib/constants.ts
- Categories: Mindset, Context, Feeling
- Tag picker UI component
- Max 5 tags per expression
- Tags stored in expression_events.vibe_tags array
- Tags displayed on expression tiles",1,flow;frontend;taxonomy,2,The Flow (Interactive Canvas)
DWTC Clubhouse,Epic for DWTC Clubhouse implementation,0,epic;clubhouse,35,
Clubhouse Route & Auth Gating,"Create clubhouse route with member-only access

Acceptance Criteria:
- Route /club/dwtc created
- Auth middleware protects route
- Redirect to login if not authenticated
- Check club_memberships table for access
- 'Access Denied' page for non-members",0,clubhouse;auth,2,DWTC Clubhouse
Clubhouse Navigation & Layout,"Build clubhouse layout with navigation

Acceptance Criteria:
- Top-level navigation: Overview, Lore, Media, Resources
- Persistent 'Add to Archive' button
- Club-specific branding (DWTC colors, logo)
- Mobile-responsive sidebar or tabs
- Footer consistent with main site",0,clubhouse;frontend,3,DWTC Clubhouse
Overview Page,"Create clubhouse overview/dashboard

Acceptance Criteria:
- Hero band with club photo
- Brief 'who we are' story
- Carousel of recent contributions
- Featured/pinned content
- Upcoming events/highlights
- Navigation to all sections",0,clubhouse;frontend,3,DWTC Clubhouse
Lore & Stories Section,"Display club lore, race recaps, and stories

Acceptance Criteria:
- Card-based layout for stories
- Filter by tag, year, event
- Load from club_contributions where type='story'
- Story detail view (title, body, media, author)
- Inline 'Add yours' prompt
- Empty state with invitation to contribute",1,clubhouse;frontend,3,DWTC Clubhouse
